NOME_PRODUTO,QUANTIDADE,COD_CLIENTE,COD_PRODUTO
RADIO RECEPTOR 2 FXS RM PFT22AC              ,2.0,240,5
"TELEVISOR 43"" 43S6500FS FULL HD SEMP TCL     ",2.0,241,94
TABLET NB730 MINI MS50G PRATA/PRETO          ,2.0,242,10
SUPORTE UNIV. BEDIN BU-25                    ,2.0,243,2
SMARTPHONE SAMSUNG GAL A10  A105 32GB PRETO  ,2.0,244,40
PEN DRIVE MC162 2X1 LEITOR USB SD 16GB       ,2.0,245,38
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,2.0,246,1
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,247,6
CAIXA AMPLIFICADA CM-09 CONNECT DJ CONTROLLER,2.0,248,16
SUPORTE UNIV. BEDIN BU-25                    ,2.0,249,2
TABLET NB706 MINI MS50L PRETO/GRAFIT         ,2.0,250,43
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,250,6
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,2.0,251,21
SMARTPHONE SAMSUNG GAL J6 64GB DB VIOLETA    ,2.0,252,78
RECEPTOR MIDIA BOX HDTV B3                   ,2.0,253,4
TABLET NB296 M7S LITE 8GB PRETO              ,2.0,254,63
RADIO RECEPTOR RM-PUSM81AC USB               ,2.0,255,101
SMARTPHONE SAMSUNG GAL A10  A105 32GB PRETO  ,2.0,256,40
SMARTPHONE SAMSUNG GAL A30  A305 64GB BRANCO ,2.0,257,65
SMARTPHONE SAMSUNG GAL A10  A105 32GB PRETO  ,2.0,258,40
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,2.0,259,21
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,260,6
SUPORTE UNIV. BEDIN BU-25                    ,2.0,261,2
"TELEVISOR SMART 55"" P6US ULTRA HD 4K HDR SEMP",2.0,262,102
SUPORTE UNIV. BEDIN BU-25                    ,2.0,263,2
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,264,6
CELULAR RIU FLIP 2.4 DB DOURADO              ,2.0,265,59
RADIO RECEPTOR 2 FXS RM PF25 PT              ,2.0,266,34
SUPORTE UNIV. BEDIN BU-25                    ,2.0,267,2
SMARTPHONE SAMSUNG GAL A10  A105 32GB PRETO  ,2.0,268,40
CAIXA DE SOM AMPLIF.TROLLEY 8 POL SP329      ,2.0,269,27
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,270,6
SUPORTE UNIV. BEDIN BU-25                    ,2.0,271,2
"TELEVISOR SMART 40"" KDL-40W655D SONY         ",2.0,60,103
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,272,6
SMARTPHONE LG K9 TV LM-X210BMW PRETO         ,2.0,273,30
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,2.0,274,21
PEN DRIVE 8GB PD587 TWIST PRETO              ,2.0,275,33
SUPORTE UNIV. BEDIN BU-25                    ,2.0,276,2
"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       ",2.0,277,79
PEN DRIVE 8GB PD587 TWIST PRETO              ,2.0,278,33
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    ,2.0,279,25
PEN DRIVE SONY R 8GB USMRGR                  ,2.0,280,8
PEN DRIVE SONY R 16GB USMRGR                 ,2.0,280,9
TABLET NB710 MS60 PRETO/PRATA MULTILASER     ,2.0,281,104
CELULAR INFINITY W201 PRETO                  ,2.0,282,57
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,283,6
SMARTPHONE SAMSUNG GAL A10  A105 32GB PRETO  ,2.0,284,40
SMARTPHONE SAMSUNG GAL A10  A105 32GB AZUL   ,2.0,285,48
SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    ,2.0,286,31
SUPORTE UNIV. BEDIN BU-25                    ,2.0,287,2
SMARTPHONE SAMSUNG GAL A10S 32GB AZUL        ,2.0,288,32
CELULAR INFINITY W201 PRETO                  ,2.0,289,57
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,290,6
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,291,6
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,2.0,292,6
CELULAR RIU FLIP 2.4 DB AZUL                 ,2.0,293,105
PEN DRIVE MC161 2X1 LEITOR USB SD 8G         ,2.0,294,56
TABLET NB733 MINI MS50X AZUL/PRETO           ,2.0,295,23
